Sequoia,Sonoma,Ventura,Monterey,Big Sur,Catalina,Mojave,High Sierra,Sierra,El Capitan,Yosemite
"iMac19,2","iMac19,2","iMac18,2","iMac16,2","iMac15,1","iMac13,1","iMac13,1","iMac10,1","iMac10,1","iMac7,1","iMac7,1"
"iMac19,1","iMac19,1","iMac19,2","iMac18,1","iMac16,1","iMac13,2","iMac13,2","iMac11,1","iMac11,1","iMac8,1","iMac8,1"
"iMac20,1","iMac20,1","iMac21,2","iMac18,2","iMac16,2","iMac14,1","iMac14,1","iMac11,2","iMac11,2","iMac9,1","iMac9,1"
"iMac20,2","iMac20,2","iMac21,1","iMac19,2","iMac17,1","iMac14,3","iMac14,3","iMac11,3","iMac11,3","iMac10,1","iMac10,1"
"iMac21,2","iMac21,2","iMac18,3","iMac17,1","iMac18,1","iMac14,2","iMac14,2","iMac12,1","iMac12,1","iMac11,1","iMac11,1"
"iMac21,1","iMac21,1","iMac19,1","iMac18,3","iMac18,2","iMac14,4","iMac14,4","iMac12,2","iMac12,2","iMac11,2","iMac11,2"
"Mac15,4","iMacPro1,1","iMac20,1","iMac19,1","iMac18,3","iMac15,1","iMac15,1","iMac13,1","iMac13,1","iMac11,3","iMac11,3"
"Mac15,5","MacBookAir8,1","iMac20,2","iMac20,1","iMac19,2","iMac16,1","iMac16,1","iMac13,2","iMac13,2","iMac12,1","iMac12,1"
"iMacPro1,1","MacBookAir8,2","iMacPro1,1","iMac20,2","iMac19,1","iMac16,2","iMac16,2","iMac14,1","iMac14,1","iMac12,2","iMac12,2"
"Macmini8,1","MacBookAir9,1","Macmini8,1","iMac21,2","iMacPro1,1","iMac17,1","iMac17,1","iMac14,3","iMac14,3","iMac13,1","iMac13,1"
"Macmini9,1","MacBookAir10,1","Macmini9,1","iMac21,1","MacBook8,1","iMac18,1","iMac18,1","iMac14,2","iMac14,2","iMac13,2","iMac13,2"
"Mac14,3","Mac14,2","MacPro7,1","iMacPro1,1","MacBook9,1","iMac18,2","iMac18,2","iMac14,4","iMac14,4","iMac14,1","iMac14,1"
"Mac14,12","Mac14,15","Mac13,1","Macmini7,1","MacBook10,1","iMac18,3","iMac18,3","iMac15,1","iMac15,1","iMac14,3","iMac14,3"
"MacPro7,1","MacBookPro15,2","Mac13,2","Macmini8,1","MacBookAir6,1","iMac19,2","iMac19,2","iMac16,1","iMac16,1","iMac14,2","iMac14,2"
"Mac14,8","MacBookPro15,1","MacBook10,1","Macmini9,1","MacBookAir6,2","iMac19,1","iMac19,1","iMac16,2","iMac16,2","iMac14,4","iMac14,4"
"Mac13,1","MacBookPro15,3","MacBookAir8,1","MacPro6,1","MacBookAir7,1","iMacPro1,1","iMacPro1,1","iMac17,1","iMac17,1","iMac15,1","MacBook5,1"
"Mac13,2","MacBookPro15,4","MacBookAir8,2","MacPro7,1","MacBookAir7,2","MacBook8,1","MacBook8,1","iMac18,1","MacBook6,1","MacBook5,1","MacBook5,2"
"Mac14,13","MacBookPro16,1","MacBookAir9,1","MacBook9,1","MacBookAir8,1","MacBook9,1","MacBook9,1","iMac18,2","MacBook7,1","MacBook5,2","MacBook6,1"
"Mac14,14","MacBookPro16,3","MacBookAir10,1","MacBook10,1","MacBookAir8,2","MacBook10,1","MacBook10,1","iMac18,3","MacBook8,1","MacBook6,1","MacBook7,1"
"MacBookAir9,1","MacBookPro16,2","Mac14,2","MacBookAir7,1","MacBookAir9,1","MacBookAir5,1","MacBookAir5,1","MacBook6,1","MacBook9,1","MacBook7,1","MacBookAir2,1"
"MacBookAir10,1","MacBookPro16,4","MacBookPro14,1","MacBookAir7,2","MacBookPro11,1","MacBookAir5,2","MacBookAir5,2","MacBook7,1","MacBookAir3,1","MacBook8,1","MacBookAir3,1"
"Mac14,2","MacBookPro17,1","MacBookPro14,2","MacBookAir8,1","MacBookPro11,2","MacBookAir6,1","MacBookAir6,1","MacBook8,1","MacBookAir3,2","MacBookAir2,1","MacBookAir3,2"
"Mac14,15","MacBookPro18,3","MacBookPro15,2","MacBookAir8,2","MacBookPro11,3","MacBookAir6,2","MacBookAir6,2","MacBook9,1","MacBookAir4,1","MacBookAir3,1","MacBookAir4,1"
"Mac15,12","MacBookPro18,4","MacBookPro15,4","MacBookAir9,1","MacBookPro12,1","MacBookAir7,1","MacBookAir7,1","MacBook10,1","MacBookAir4,2","MacBookAir3,2","MacBookAir4,2"
"Mac15,13","MacBookPro18,1","MacBookPro16,3","MacBookAir10,1","MacBookPro11,4","MacBookAir7,2","MacBookAir7,2","MacBookAir3,1","MacBookAir5,1","MacBookAir4,1","MacBookAir5,1"
"MacBookPro15,2","MacBookPro18,2","MacBookPro16,2","MacBookPro12,1","MacBookPro11,5","MacBookAir8,1","MacBookAir8,1","MacBookAir3,2","MacBookAir5,2","MacBookAir4,2","MacBookAir5,2"
"MacBookPro15,1","Mac14,7","MacBookPro17,1","MacBookPro13,1","MacBookPro13,1","MacBookAir8,2","MacBookPro9,2","MacBookAir4,1","MacBookAir6,1","MacBookAir5,1","MacBookAir6,1"
"MacBookPro15,3","Mac14,9","Mac14,7","MacBookPro13,2","MacBookPro13,2","MacBookPro9,2","MacBookPro9,1","MacBookAir4,2","MacBookAir6,2","MacBookAir5,2","MacBookAir6,2"
"MacBookPro15,4","Mac14,5","MacBookPro18,3","MacBookPro14,1","MacBookPro13,3","MacBookPro9,1","MacBookPro10,1","MacBookAir5,1","MacBookAir7,1","MacBookAir6,1","MacBookPro3,1"
"MacBookPro16,1","Mac14,10","MacBookPro18,4","MacBookPro14,2","MacBookPro14,1","MacBookPro10,1","MacBookPro10,2","MacBookAir5,2","MacBookAir7,2","MacBookAir6,2","MacBookPro4,1"
"MacBookPro16,3","Mac14,6","MacBookPro14,3","MacBookPro15,2","MacBookPro14,2","MacBookPro10,2","MacBookPro11,1","MacBookAir6,1","MacBookPro7,1","MacBookAir7,1","MacBookPro5,1"
"MacBookPro16,2","Macmini8,1","MacBookPro15,1","MacBookPro15,4","MacBookPro14,3","MacBookPro11,1","MacBookPro11,2","MacBookAir6,2","MacBookPro6,2","MacBookAir7,2","MacBookPro5,2"
"MacBookPro16,4","Macmini9,1","MacBookPro15,3","MacBookPro16,3","MacBookPro15,2","MacBookPro11,2","MacBookPro11,3","MacBookAir7,1","MacBookPro6,1","MacBookPro3,1","MacBookPro5,5"
"MacBookPro17,1","Mac14,3","MacBookPro16,1","MacBookPro16,2","MacBookPro15,1","MacBookPro11,3","MacBookPro12,1","MacBookAir7,2","MacBookPro8,1","MacBookPro4,1","MacBookPro5,4"
"MacBookPro18,3","Mac14,12","MacBookPro16,4","MacBookPro17,1","MacBookPro15,3","MacBookPro12,1","MacBookPro11,4","MacBookPro7,1","MacBookPro8,2","MacBookPro5,1","MacBookPro5,3"
"MacBookPro18,4","MacPro7,1","MacBookPro18,1","MacBookPro18,3","MacBookPro15,4","MacBookPro11,4","MacBookPro11,5","MacBookPro6,2","MacBookPro8,3","MacBookPro5,2","MacBookPro7,1"
"MacBookPro18,1","Mac14,8","MacBookPro18,2","MacBookPro18,4","MacBookPro16,1","MacBookPro11,5","MacBookPro13,1","MacBookPro6,1","MacBookPro9,2","MacBookPro5,5","MacBookPro6,2"
"MacBookPro18,2","Mac13,1",,"MacBookPro11,4","MacBookPro16,3","MacBookPro13,1","MacBookPro13,2","MacBookPro8,1","MacBookPro9,1","MacBookPro5,4","MacBookPro6,1"
"Mac14,7","Mac13,2",,"MacBookPro11,5","MacBookPro16,2","MacBookPro13,2","MacBookPro13,3","MacBookPro8,2","MacBookPro10,1","MacBookPro5,3","MacBookPro8,1"
"Mac14,9","Mac14,13",,"MacBookPro13,3","Macmini7,1","MacBookPro13,3","MacBookPro14,1","MacBookPro8,3","MacBookPro10,2","MacBookPro7,1","MacBookPro8,2"
"Mac14,5","Mac14,14",,"MacBookPro14,3","Macmini8,1","MacBookPro14,1","MacBookPro14,2","MacBookPro9,2","MacBookPro11,1","MacBookPro6,2","MacBookPro8,3"
"Mac14,10",,,"MacBookPro15,1","MacPro6,1","MacBookPro14,2","MacBookPro14,3","MacBookPro9,1","MacBookPro11,2","MacBookPro6,1","MacBookPro9,2"
"Mac14,6",,,"MacBookPro15,3","MacPro7,1","MacBookPro14,3","MacBookPro15,2","MacBookPro10,1","MacBookPro11,3","MacBookPro8,1","MacBookPro9,1"
"Mac15,3",,,"MacBookPro16,1",,"MacBookPro15,2","MacBookPro15,1","MacBookPro10,2","MacBookPro12,1","MacBookPro8,2","MacBookPro10,1"
"Mac15,6",,,"MacBookPro16,4",,"MacBookPro15,1","MacBookPro15,3","MacBookPro11,1","MacBookPro11,4","MacBookPro8,3","MacBookPro10,2"
"Mac15,10",,,"MacBookPro18,1",,"MacBookPro15,3","Macmini6,1","MacBookPro11,2","MacBookPro11,5","MacBookPro9,2","MacBookPro11,1"
"Mac15,8",,,"MacBookPro18,2",,"MacBookPro15,4","Macmini6,2","MacBookPro11,3","Macmini4,1","MacBookPro9,1","MacBookPro11,2"
"Mac15,7",,,,,"Macmini6,1","Macmini7,1","MacBookPro12,1","Macmini5,1","MacBookPro10,1","MacBookPro11,3"
"Mac15,11",,,,,"Macmini6,2","Macmini8,1","MacBookPro11,4","Macmini5,2","MacBookPro10,2","Macmini3,1"
"Mac15,9",,,,,"Macmini7,1","MacPro5,1","MacBookPro11,5","Macmini5,3","MacBookPro11,1","Macmini4,1"
,,,,,"Macmini8,1","MacPro6,1","MacBookPro13,1","Macmini6,1","MacBookPro11,2","Macmini5,1"
,,,,,"MacPro6,1",,"MacBookPro13,2","Macmini6,2","MacBookPro11,3","Macmini5,2"
,,,,,,,"MacBookPro13,3","Macmini7,1","MacBookPro12,1","Macmini5,3"
,,,,,,,"MacBookPro14,1","MacPro5,1","MacBookPro11,4","Macmini6,1"
,,,,,,,"MacBookPro14,2","MacPro6,1","MacBookPro11,5","Macmini6,2"
,,,,,,,"MacBookPro14,3",,"Macmini3,1","MacPro3,1"
,,,,,,,"Macmini4,1",,"Macmini4,1","MacPro4,1"
,,,,,,,"Macmini5,1",,"Macmini5,1","MacPro5,1"
,,,,,,,"Macmini5,2",,"Macmini5,2","MacPro6,1"
,,,,,,,"Macmini5,3",,"Macmini5,3","Xserve3,1"
,,,,,,,"Macmini6,1",,"Macmini6,1",
,,,,,,,"Macmini6,2",,"Macmini6,2",
,,,,,,,"Macmini7,1",,"Macmini7,1",
,,,,,,,"MacPro5,1",,"MacPro3,1",
,,,,,,,"MacPro6,1",,"MacPro4,1",
,,,,,,,,,"MacPro5,1",
,,,,,,,,,"MacPro6,1",
,,,,,,,,,"Xserve3,1",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,